维度二：系列与空间 清理报告
--------------------------------------------------
已删除的预告及回顾类条目：
ID_0055 | 【学术回顾】“多重的自在”：王璜生教授对谈
ID_1533 | 《长生殿·酒楼》活动回顾+11月预报名：柯军说戏丨AMNUA现场
ID_1684 | 群展“冷光”即将登陆AMNUA \
ID_1713 | 共生·苍鑫2017个展即将开幕 \
ID_1746 | 碎岁平安:  陆斌实验紫砂作品展 即将开幕 \
ID_1765 | 华素青：对百年包豪斯的回顾与传承\
ID_1778 | 实验/衍生——南京艺术学院设计学院2017毕业展预告 \
ID_1906 | AMNUA CAFE嘻哈音乐派对 现场回顾
ID_1941 | 南京艺术学院美术馆5周年特展 &amp; 大学美术馆特邀论坛 即将隆重登场 \
ID_1949 | 咔咔狂欢夜回顾：拒绝佛系，一起嗨！ \
ID_1985 | 这是一则冷静的活动回顾丨AMNUA公教回顾
ID_2002 | 豌豆先生插画创作之旅圆满结束，小朋友恐成最大赢家丨AMNUA公教回顾
ID_2326 | 演出回顾\
ID_2327 | 项目回顾：找到你的“宝 石 碎 片” \
ID_2582 | 公益扇绘活动回顾：无声活色—《绣羽衔花》系列公共教育活动
ID_2645 | 史怡然: 回到原始设置_《绘画即讯息》 访谈｜AMNUA展览回顾
ID_2649 | 罗凡：用绘画的方式测量温度—从《城市》到《动物园》_《绘画即讯息》访谈丨AMNUA展览回顾
ID_2654 | 刘川：可能冬天太冷了_《绘画即讯息》访谈丨AMNUA展览回顾
ID_2718 | 谭天：更多的（广告牌，宣言，笑话）_《通明》之祝福系列丨AMNUA展览回顾
ID_2722 | 王天德最新个展即将呈现 \
ID_2740 | 爱书人的好春日：独立书店阅读节现场回顾 \
ID_2786 | 一场温情的社区公共服务活动：南化公司老同志专场导览回顾 \
ID_2790 | 展览回顾 ：寻“真”之旅 \
ID_2809 | 社区公共服务：幼儿园教师导览观展回顾｜AMNUA公共教育
ID_2842 | 开幕回顾 ：现实主义滤镜 \
ID_2855 | 开幕回顾：角花—小小灰：裴丽个展 \
ID_2904 | 从过去凝望未来 : 时代之眼开幕回顾 \
ID_2907 | 观看与内感 ：赵方方个展开幕回顾 \
ID_2962 | 弥散：中国当代大漆艺术展开幕回顾 ｜ AMNUA现场
ID_2972 | 沉默的形状——赵培智个展开幕回顾 \
ID_2985 | 活动回顾 \
ID_2989 | 活动回顾 \
ID_2993 | 日常暗示：席昊鑫艺术项目开幕回顾 \
ID_3011 | 文化—理想主义—集体主义：80年代中国现代艺术运动 ｜AMNUA 讲座回顾
ID_3072 | 公教回顾 ：“愈见-城市漫行记“之探索老下关—浦口码头的往昔岁月
ID_3082 | 活动回顾 ：“愈见—城市漫行记2”探访饮马巷之历史民居
ID_3102 | 活动回顾：“愈见—城市漫行记3”之莫愁湖与南湖的古今对望
ID_3115 | 活动回顾：流·光——美术馆里的音乐会&amp;沉浸式导览 ｜ AMNUA典藏 · 东流万里长系列
ID_3158 | 绝对者的游戏｜AMNUA展览回顾
ID_3216 | 活动回顾 ｜ “数据有形·历史可触”信息可视化工作坊分享
ID_3235 | 讲座回顾 ｜欧里庇得斯《阿尔刻提斯》——一部舒适社会中的悲剧
ID_3237 | 活动回顾-学会和孩子友好相处 \
ID_3240 | 活动回顾—“艺术疗愈身心” \
ID_3279 | “南京：牛童摄影展”开幕式暨导览回顾
ID_3294 | 文化惠民共建项目“种龙少年·溯源之旅” ｜AMNUA活动回顾
ID_3303 | 中央美术学院美术馆馆藏巡展“从来风俗亦有诗”即将开展 \
ID_3314 | “走进蓝色心灵花园——蓝印花布艺术与心理疗愈互动体验工作坊”启动仪式回顾
ID_3319 | 讲座回顾 \
ID_3321 | 活动回顾 ：“承流·开新”致敬中国动画教育创办七十五周年暨南京艺术学院动画学科建设汇报展公共实践交流
ID_3323 | 活动回顾：“从来风俗亦有诗——古今人物风貌展”公共交流实践
ID_3326 | 活动回顾：“从刚果河到长江——南京艺术学院中非雕塑艺术创作研究展”公共交流实践
ID_3340 | 工作坊回顾 \
ID_3344 | 文化惠民共建项目回顾｜顺时而养：一场关于身心的秋日对话
ID_3347 | 工作坊回顾 \
ID_3351 | 现场回顾 \
ID_3363 | 工作坊回顾 \
ID_3382 | 开幕回顾｜观念的演化：1980年代以来的中国当代版画展巡展（南京站）
