ID,活动时间,活动名称,活动职能,表现形式,学科媒介,活动组织类型,系列标签,活动性质1,活动性质2,活动性质3,活动领域,活动主题标签,活动地点,策划人
ID_0893,2015.05.24,AMNUA专题丨艺术界和时尚圈眼中的“艺术范”（一）,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,N/A,作者:文刀米
ID_0894,2015.05.25,AMNUA毕业生丨设院室内杜春海：天道好轮回，毕设饶过谁,展览,线下展览,设计,独立活动,N/A,艺术展览,N/A,设计,纯艺术,N/A,N/A,N/A
ID_0895,2015.05.25,AMNUA专题丨他们眼中的“艺术范”（二）,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,N/A,作者:南美小白
ID_0896,2015.05.26,AMNUA毕业展丨南艺设计学院2015毕业作品展盛大开幕，观众人数近两万,展览,线下展览,设计,独立活动,N/A,艺术展览,N/A,设计,纯艺术,N/A,N/A,N/A
ID_0897,2015.05.26,AMNUA毕业生丨设院景观郑天和：希望南艺能有更加自由的设计土壤,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,线上活动,N/A
ID_0898,2015.05.26,AMNUA公教丨人生的飞跃：南大中荷国际MBA返校主题沙龙,讲座,专题讲座,综合,独立活动,N/A,学术讲座,N/A,综合,跨学科/泛文化,N/A,公共空间,N/A
ID_0899,2015.05.26,AMNUA专题丨艺术范＆吳笛笛：我认为最具有艺术气息的单品是“人”,其他,N/A,油画,独立活动,N/A,其他,N/A,油画,纯艺术,N/A,N/A,N/A
ID_0900,2015.05.27,AMNUA毕业展丨设院毕业作品说明书（一）,展览,线下展览,设计,独立活动,N/A,艺术展览,N/A,设计,纯艺术,N/A,N/A,作者:\[法国\] 皮埃尔·高乃依，这是一部描写责任与爱情、理性和感情冲突的悲剧。从高乃依的悲剧理论以及悲剧代表作《熙德》中，我们不难看出高乃依的悲剧思想。高乃依站在法国17世纪的社会背景下去歌颂中央集权的封建王权，反映个人的一切利益必须服从国家意志和权力的思想。他根据古典主义的戏剧原则进行创作，以理性与感情的冲突为主题，塑造了具有崇高的思想和优良品德的时代英雄主义形象。
﻿ID,活动时间,活动名称,活动职能,表现形式,学科媒介,活动组织类型,系列标签,活动性质1,活动性质2,活动性质3,活动领域,活动主题标签,活动地点,策划人
ID_0901,2015.05.27,AMNUA艺评丨“形式即是内容”《在·现：王功新二十年影像艺术》展,展览,线下展览,油画,独立活动,N/A,艺术展览,N/A,油画,纯艺术,N/A,N/A,作者:陈正
ID_0902,2015.05.27,AMNUA毕业生丨设院纺织谈坤：最满意的作品，是让我学到最多的那件,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,N/A,N/A
ID_0903,2015.05.27,AMNUA专题丨艺术范＆赵赵 ：“艺术范”是从内透出来的,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,N/A,作者:文刀米
ID_0904,2015.05.28,AMNUA游戏丨毕业展寡看很无聊？来当个名侦探柯南吧，有奖品哦,展览,线下展览,设计,独立活动,N/A,艺术展览,N/A,设计,纯艺术,N/A,N/A,N/A
