ID,Label,Type
ID_0016,影像档案 第3回： “影像清教徒”——张小迪影像展（2013.10.22—2013.11.14）,活动
ID_0017,“时·区 —— 当代高校青年教师的创作与探索”即将开展,活动
PERSON_郑闻学,郑闻学,人物
PERSON_敖国兴,敖国兴,人物
PERSON_罗丹,罗丹,人物
PERSON_裴丽,裴丽,人物
PERSON_沈朝方,沈朝方,人物
PERSON_陶大珉,陶大珉,人物
PERSON_熊莉钧,熊莉钧,人物
PERSON_汪莺莺,汪莺莺,人物
PERSON_陈献辉,陈献辉,人物
PERSON_李青,李青,人物
PERSON_梁昊鹏,梁昊鹏,人物
PERSON_韩建宇,韩建宇,人物
PERSON_吴俊勇,吴俊勇,人物
PERSON_秦晋,秦晋,人物
PERSON_靳山,靳山,人物
PERSON_高昊,高昊,人物
PERSON_何玲,何玲,人物
PERSON_康海涛,康海涛,人物
PERSON_宋振,宋振,人物
PERSON_阎盈汐,阎盈汐,人物
PERSON_王郁洋,王郁洋,人物
PERSON_周先锋,周先锋,人物
PERSON_丛伟,丛伟,人物
PERSON_冯且,冯且,人物
PERSON_和丽斌,和丽斌,人物
PERSON_邬建安,邬建安,人物
PERSON_王超,王超,人物
PERSON_吴超,吴超,人物
PERSON_张月,张月,人物
ID_0018,“素描·表达与限度” 策展人线上导览（一）,活动
ID_0019,“素描·表达与限度” 策展人线上导览（二）,活动
ID_0020,“素描·表达与限度” 策展人线上导览（三）,活动
ID_0021,素描展讲座：智性与艺术——论文艺复兴时期的disegno观念,活动
ID_0022,影像档案第4回 一部中国当代艺术的口述史：对话威尼斯（2013.11.15—2013.12.20）,活动
PERSON_温成,温成,人物
ID_0023,天道酬勤——周积寅教授75华诞、从艺55周年书画展（2013.11.16—2013.11.20）,活动
ID_0024,“时区·当代高校青年教师的创作于探索” 第一单元：惯性翻转,活动
PERSON_汪莺莺）,汪莺莺）,人物
PERSON_梁,梁,人物
PERSON_昊鹏,昊鹏,人物
ID_0025,“时区·当代高校青年教师的创作于探索” 第二单元：形式发问,活动
PERSON_靳山）,靳山）,人物
ID_0026,“时区·当代高校青年教师的创作于探索” 第三单元：媒介冷暖,活动
PERSON_周先锋）,周先锋）,人物
ID_0027,“时区·当代高校青年教师的创作于探索” 第四单元：智性之桥,活动
PERSON_张月）,张月）,人物
ID_0028,“时区·当代高校青年教师的创作与探索”今日开幕！,活动
ID_0029,“时区”展学术活动：从《宫乐图》到《南国少将的早餐》——沈朝方影展及对谈,活动
PERSON_曹恺,曹恺,人物
PERSON_沈晓平,沈晓平,人物
ID_0030,“弗朗西斯·培根中国首展” 2013.12.02下午3点亮相南艺美术馆！,活动
ID_0031,“时区展”公共教育之少儿活动“What&#39;s this?”&quot;It&#39;s a ....&quot;（2013.12.01 10:00am）,活动
ID_0032,“时·区”展学术讲座： “当代青年艺术的研究策展与收藏”（2013.11.28 14:00）,活动
ID_0033,“弗朗西斯·培根中国首展”作品抢先看！（ 2013.12.02 15:00开幕）,活动
ID_0034,弗兰西斯·培根：“有史以来最伟大的画家之一”（培根中国首展：2013.12.02@AMNUA）,活动
ID_0035,“弗兰西斯·培根中国首展”今日开幕！贝瑞·焦尔将向南艺美术馆捐赠培根原作。,活动
ID_0036,展出ING：“弗朗西斯·培根中国首展”@南艺美术馆（2013.12.02—2013.01.06）,活动
ID_0037,世界美术馆之旅：布赫海姆美术馆——史达恩堡湖畔的德国表现主义收藏,活动
ID_0038,“时区——当代高校青年教师的创作与探索”  策展人导览（一）,活动
ID_0039,南艺美术馆一周年：“第五届刮刀音乐节”（2013.12.212:2013.00.10:00pm）,活动
ID_0040,南京·当代剧场青年邀请周（2013.12.24—2013.12.28）,活动
PERSON_王墨林,王墨林,人物
PERSON_台湾资深小剧场工作者,台湾资深小剧场工作者,人物
PERSON_剧评家,剧评家,人物
ID_0041,“第五届刮刀音乐节”在南艺美术馆圆满举办！,活动
ID_0042,零度艺评：《看热闹还是看门道：从南艺美术馆的“培根展”谈起  》,活动
ID_0043,世界美术馆之旅：古埃及艺术与当代艺术的展示——拜仁州立埃及艺术博物馆,活动
PERSON_张昭,张昭,人物
ID_0044,思想剧场：素描的观念——中德艺术对谈,活动
PERSON_**,**,人物
ID_0045,馆长声音：“培根中国首展：没有代表作就不是好画展吗？”——李小山,活动
PERSON_北京青年报,北京青年报,人物
ID_0046,艺术世界：亚洲文化艺术的当代呈现——大英博物馆亚洲部主任施美茵讲座,活动
ID_0047,思想剧场：《暴力与科幻交错的景观——中国城市雕塑漫谈》,活动
ID_0048,馆长声音：《周春芽：把艺术当做他的幸福之源》——李小山,活动
ID_0049,独家《培根画册》出炉！转发朋友圈，抽奖送画册！南艺美术馆恭祝大家马年大吉！,活动
ID_0050,世界美术馆之旅 Ⅲ：博盖赛美术馆——对威尼斯画派和意大利巴洛克艺术的体验（上）,活动
ID_0051,南艺美术馆“复调”展览纪录片导演喜获“柏林电影节”金熊奖,活动
PERSON_肖乾操**_,肖乾操**_,人物
PERSON_肖乾操,肖乾操,人物
ID_0052,对话陈陈陈：边教边学的自我磨砺（“教学相长”2014.02.28—2014.03.20）,活动
PERSON_徐乐,徐乐,人物
ID_0053,【复调II】李小山：你成功了，还是不是艺术家？,活动
PERSON_林书传,林书传,人物
PERSON_王麟,王麟,人物
ID_0054,【复调II】 程辰：艺术本身是无用的,活动
ID_0055,【学术回顾】“多重的自在”：王璜生教授对谈,活动
PERSON_**王璜生**,**王璜生**,人物
ID_0056,【公教回顾】“非常体验——手工印相工作坊”,活动
ID_0057,【复调II】参展艺术家：厉槟源,活动
PERSON_厉槟源.md,厉槟源.md,人物
PERSON_厉槟源,厉槟源,人物
ID_0058,【项目回顾】零方案：转塘拆迁区驻地创作计划,活动
ID_0059,【今日展览】曾经沧海：南京艺术学院藏刘海粟国画作品陈列展+策展人导览,活动
ID_0060,【复调II】林书传：写在复调展览之前,活动
ID_0061,【讲座预告】从色彩到渐变色环——论马奈,活动
ID_0062,【公教预告】“非常体验”——丝网印刷工作坊,活动
ID_0063,【今日公教】“刘海粟国画作品陈列展”策展人导览,活动
ID_0064,【今日公教】“非常体验”——丝网印刷工作坊,活动
ID_0065,【复调II】王麟：关于北京艺术生态的只言片语,活动
PERSON_王麟_,王麟_,人物
ID_0066,【复调II】厉槟源：直接、真诚的冒险精神,活动
ID_0067,【讲座预告】身体博物馆：厉槟源谈自身创作,活动
PERSON_雄黄社,雄黄社,人物
PERSON_华贸一楼,华贸一楼,人物
ID_0068,【复调II】郑闻：成功是个什么玩艺儿？,活动
ID_0069,【复调II】胡国卿：如此让我觉得更契合内心,活动
ID_0070,【复调II】陈瑞：为复调序,活动
ID_0071,【展览现场】“曾经沧海：南京艺术学院藏刘海粟国画作品陈列展”开幕,活动
ID_0072,【公教回顾】非常体验——丝网印刷工作坊,活动
ID_0073,【复调II】杨俊岭：以非职业的状态创作艺术,活动
ID_0074,【公教预告】定格的记忆,活动
ID_0075,【公教预告】微观的神奇世界,活动
ID_0076,【今日展览】“复调II——中国艺术生态调查·北京站”下午2:00再度发声！,活动
ID_0077,【复调II】线上+线下观众互动活动“我在现场” 拍照发布赢神秘礼品！,活动
ID_0078,【复调II】一大波萌物来袭，请速速下手！,活动
ID_0079,【头条】“复调II——中国艺术生态调查·北京站”欢乐开幕！！！！,活动
ID_0080,【今日活动】身体博物馆：厉槟源谈自身创作,活动
PERSON_厉槟源主持人,厉槟源主持人,人物
ID_0081,【公教预告】小小泥塑家,活动
ID_0082,【国庆正常开放】景区太挤，在家太闲，到南艺美术馆看展览吧！,活动
PERSON_耿雪,耿雪,人物
ID_0083,【现场突击】观众眼中的“复调II”,活动
ID_0084,【海外专栏 · 世界美术馆之旅】慕尼黑古希腊、罗马雕塑馆（上）,活动
ID_0085,【海外专栏 · 世界美术馆之旅】慕尼黑古希腊、罗马雕塑馆（下）,活动
ID_0086,【展览预告】自然之名——风景画与山水画邀请展,活动
PERSON_吕澎杨振宇,吕澎杨振宇,人物
ID_0087,【展览预告】零方案第九回  “寸光阴：倪有鱼个人项目”,活动
PERSON_**倪有鱼**,**倪有鱼**,人物
ID_0088,【公教回顾】“复调II”：定格的记忆,活动
ID_0089,【展览预告】零方案 第九回：“寸光阴”倪有鱼个人项目,活动
ID_0090,【讲座预告】“自然之名——风景画与山水画邀请展”系列讲座,活动
PERSON_吕澎,吕澎,人物
PERSON_李立新**,李立新**,人物
PERSON_杨振宇**,杨振宇**,人物
PERSON_樊波**,樊波**,人物
PERSON_孔令伟**,孔令伟**,人物
PERSON_周一清**,周一清**,人物
PERSON_焦小健**,焦小健**,人物
ID_0091,【公教预告】青年文化艺术沙龙：古着Party,活动
PERSON_娜娜及外籍舞者,娜娜及外籍舞者,人物
ID_0092,【明日展览】“自然之名“前言  吕澎：《一步步地走向自然》,活动
ID_0093,【明日展览】零方案 第九回：“寸光阴”倪有鱼个人项目,活动
ID_0094,【今日展览】“自然之名——风景画与山水画邀请展”今天下午2:30开幕！,活动
PERSON_李立新,李立新,人物
PERSON_杨振宇,杨振宇,人物
PERSON_樊波,樊波,人物
PERSON_孔令伟,孔令伟,人物
PERSON_周一清,周一清,人物
PERSON_焦小健,焦小健,人物
ID_0095,【今日展览】零方案 第九回：“寸光阴”倪有鱼个人项目,活动
ID_0096,【公教回顾】“复调II”：微观的神奇世界,活动
ID_0097,【头条】国美&amp;南艺联办：“自然之名——风景画与山水画邀请展”开幕,活动
ID_0098,【今日讲座】“自然之名——风景画与山水画邀请展”系列讲座,活动
ID_0099,【今日公教】非常体验：范戴克法古法印相,活动
ID_0100,【策展人专访】郑闻：“另一种坚持：温和与坚定”,活动
ID_0101,【项目预告】可动恰恰：一点音乐和艺术的游戏！,活动
ID_0102,【线上活动】评选你最喜欢的“复调II·北京站”艺术家和艺术团体,活动
ID_0103,【今日活动】可动恰恰：一点音乐和艺术的游戏,活动
ID_0104,【讲座预告】David Clark : 玩乐之地,活动
PERSON_大卫·克拉克/David,大卫·克拉克/David,人物
PERSON_Clark**,Clark**,人物
ID_0105,【公教预告】赴一场名为“复古”的盛宴,活动
PERSON_丁钰洁（新锐服装设计师,丁钰洁（新锐服装设计师,人物
PERSON_就读威尼斯建筑大学服装设计与理论硕士学位,就读威尼斯建筑大学服装设计与理论硕士学位,人物
PERSON_曾,曾,人物
PERSON_**丁钰洁**_,**丁钰洁**_,人物
ID_0106,【展览预告】年度大展：“L.S.洛瑞：艺术家·人民”,活动
ID_0107,【展览预告】影像档案 第七回：《白沫》,活动
ID_0108,【公教预告】“复调II”：奇遇泥塑,活动
ID_0109,【艺术新闻】2014美国印制大奖，雅昌36项大奖引领全球,活动
ID_0110,【展览预告】周京新画展,活动
ID_0111,【今日展览】影像档案 第七回：《白沫》,活动
ID_0112,【今日讲座】David Clarke : 玩乐之地,活动
PERSON_Clarke**,Clarke**,人物
ID_0113,【明日讲座】“自然之名——风景画与山水画邀请展”讲座（二）,活动
ID_0114,【明日公教】“复古”升级：古着插画+复古婚纱+复古单车齐上阵！,活动
ID_0115,【展览预告】“或此或彼”——洪磊2014作品展,活动
PERSON_洪磊,洪磊,人物
ID_0116,【展览预告】英国人民最喜爱的艺术家L.S.洛瑞中国首展即将亮相我馆,活动
ID_0117,【展览预告】周京新画展,活动
ID_0118,【公教回顾】复古不死，时尚永存,活动
ID_0119,【公教回顾】非常体验——范戴克法古法印相,活动
ID_0120,【今日展览】周京新画展,活动
ID_0121,【展览预告】L.S.洛瑞：艺术家•人民,活动
PERSON_安德鲁•卡尔曼,安德鲁•卡尔曼,人物
ID_0122,【展览预告】“或此或彼”——洪磊2014作品展,活动
ID_0123,【公教回顾】“复调II”：奇遇泥塑,活动
ID_0124,【头条】“周京新画展”在南京艺术学院美术馆开幕,活动
ID_0125,【公教预告】“复调II”：最后的狂欢,活动
ID_0126,【零方案】寸光阴：倪有鱼个人项目,活动
ID_0127,【公教回顾】讲座“玩乐之地”，Let’s play！,活动
ID_0128,【学术预告】当代艺术家影像志《隐秘的线索：洪磊》明日首映,活动
PERSON_郑闻**,郑闻**,人物
PERSON_洪磊**,洪磊**,人物
PERSON_陈光祖,陈光祖,人物
ID_0129,【洛瑞专题】用数字说画：总价值2014.01.05亿人民币的三幅作品,活动
ID_0130,【今日活动】“复调II”闭幕式：最后的狂欢,活动
ID_0131,【讲座预告】Laurent-Max De Cock：心手之间,活动
ID_0132,【头条】“或此或彼”洪磊2014作品展 暨《“隐秘的线索”：洪磊》纪录片首映式 开幕,活动
ID_0133,【正在展出】Color-Field-Painting / 色域绘画,活动
ID_0134,【公教回顾】“复调II”闭幕：最后的狂欢,活动
ID_0135,【洛瑞专题】英国明星的洛瑞情结,活动
ID_0136,【展览预告】邱志杰：《南京长江大桥自杀干预计划（五）——齐物》,活动
PERSON_李小山制作总监：王晋工,李小山制作总监：王晋工,人物
ID_0137,【展览预告】高山流水——中国山水画展,活动
PERSON_瑞策展助,瑞策展助,人物
PERSON_**常进,**常进,人物
PERSON_林海钟,林海钟,人物
PERSON_刘明波,刘明波,人物
PERSON_丘挺,丘挺,人物
PERSON_吴可,吴可,人物
PERSON_萧海春,萧海春,人物
PERSON_徐光聚,徐光聚,人物
PERSON_徐龙森,徐龙森,人物
PERSON_郑力**,郑力**,人物
ID_0138,【咖啡学院】百鬼夜行——万圣节化装晚会,活动
ID_0139,【展览预告】当代艺术家邱志杰携 《南京长江大桥自杀干预计划（五）——齐物》来宁！,活动
ID_0140,【展览预告】“高山流水——中国山水画展” 策展人语,活动
ID_0141,【媒体反馈】“周京新画展”引发水墨画新思考：不能把广场舞当做芭蕾,活动
PERSON_肖林_,肖林_,人物
ID_0142,【公教回顾】Laurent-Max De Cock：心手之间,活动
ID_0143,【洛瑞专题】英国《每日电讯报》Luxury专栏： 《崇尚洛瑞的拾荒人》,活动
PERSON_科林·,科林·,人物
PERSON_科林·古雷戴尔,科林·古雷戴尔,人物
PERSON_译者：姚品卉_,译者：姚品卉_,人物
ID_0144,【展览预告】邱志杰谈“齐物”,活动
ID_0145,【零度艺评】郑闻：当代美术馆的影像策展与影像生产,活动
ID_0146,【活动回顾】美术馆万圣夜,活动
ID_0147,【公教预告】非常体验：拼布工作坊,活动
ID_0148,【洛瑞专题】人民艺术家：L.S.洛瑞,活动
PERSON_L.S.洛瑞.md,L.S.洛瑞.md,人物
PERSON_L.S.洛瑞,L.S.洛瑞,人物
ID_0149,【本周展览】关于长江大桥自杀现象干预计划,活动
ID_0150,【讲座预告】洪磊：摄影的观看,活动
ID_0151,【公教预告】喜物会,活动
ID_0152,【头条】邱志杰：用齐物之观“反对”死亡,活动
ID_0153,【今日展览】高山流水——中国山水画展,活动
ID_0154,【今日讲座】洪磊：摄影的观看,活动
ID_0155,【本周公教】喜物会：用你的过去，交换他的未来,活动
ID_0156,【头条】《高山流水——中国山水画展》开幕,活动
ID_0157,【纪录片】《“隐秘的线索”：洪磊》正式上线,活动
ID_0158,【公教回顾】拼布工作坊,活动
ID_0159,【开幕倒计时：4天】《L.S.洛瑞：艺术家·人民》展览宣传片正式发布！,活动
ID_0160,【今日展览】零方案第十回：多·展——南京多攒艺术地图项目,活动
ID_0161,【今日讲座】《艺术界》在南京——“福柯之镜”系列活动,活动
PERSON_薛问问,薛问问,人物
ID_0162,【公教预告】怡心工坊：“心灵SPA” 系列工作坊,活动
ID_0163,【开幕倒计时：3天】《洛瑞展》策展人专访,活动
ID_0164,【公教预告】遇见二次元：《我为歌狂》&amp;《十万个冷笑话》导演强强来袭,活动
PERSON_高佳业**,高佳业**,人物
PERSON_薛峰**,薛峰**,人物
ID_0165,【开幕倒计时：1天】《L.S.洛瑞：艺术家·人民》作品抢先看,活动
ID_0166,【高山流水】参展艺术家：萧海春,活动
PERSON_萧海春.md,萧海春.md,人物
ID_0167,【公教回顾】“喜物会”妙趣横生,活动
ID_0168,【头条】洛瑞来了！！！,活动
ID_0169,【高山流水】参展艺术家：常进,活动
PERSON_常进.md,常进.md,人物
PERSON_常进,常进,人物
ID_0170,【正在展出】第十一届中国独立影像展,活动
ID_0171,【艺术新闻】 艺术需要市场，还是秀场？ ——扩张的艺博会，“双楼效应”的失衡,活动
ID_0172,【高山流水】参展艺术家：徐龙森,活动
PERSON_徐龙森.md,徐龙森.md,人物
ID_0173,【本周公教】致敬经典：《我为歌狂》导演来袭,活动
ID_0174,【头条】“第十一届中国独立影像展”在南艺美术馆成功举办,活动
ID_0175,【明日展览】影像档案第八回： 约翰·拉什影像展,活动
PERSON_约翰·拉什,约翰·拉什,人物
ID_0176,【高山流水】参展艺术家：郑力,活动
PERSON_郑力.md,郑力.md,人物
PERSON_郑力,郑力,人物
ID_0177,【高山流水】参展艺术家：林海钟,活动
PERSON_林海钟.md,林海钟.md,人物
ID_0178,【高山流水】参展艺术家：吴可,活动
PERSON_吴可.md,吴可.md,人物
ID_0179,【明日讲座】日落斜阳：20世纪英国的历史审视,活动
PERSON_刘金源,刘金源,人物
ID_0180,【明日活动】致敬经典：《我为歌狂》VS《十万个冷笑话》,活动
PERSON_**高佳业**,**高佳业**,人物
PERSON_**薛峰**,**薛峰**,人物
PERSON_高佳业,高佳业,人物
PERSON_卢恒宇,卢恒宇,人物
PERSON_薛峰等,薛峰等,人物
ID_0181,【高山流水】参展艺术家：刘明波,活动
PERSON_刘明波.md,刘明波.md,人物
ID_0182,【高山流水】参展艺术家：丘挺,活动
PERSON_丘挺.md,丘挺.md,人物
ID_0183,【高山流水】参展艺术家：徐光聚,活动
PERSON_徐光聚.md,徐光聚.md,人物
ID_0184,【AMNUA专访】身份的确认来自他者的目光：郑闻与约翰·拉什对谈,活动
ID_0185,【公教回顾】《我为歌狂》&amp;《十万个冷笑话》动画导演搞怪来袭！,活动
ID_0186,【洛瑞专题】英方策展人安德鲁.卡尔曼专访,活动
ID_0187,【公教预告】讲座：工业革命背景下的英国文学创作,活动
PERSON_**陈兵**,**陈兵**,人物
ID_0188,【公教回顾】少儿活动：“寻找遗失的城堡”,活动
ID_0189,【活动预告】当代剧场青年邀请周,活动
ID_0190,【零度艺评】不止女人和枪：郑闻致十一届CIFF独立影展,活动
ID_0191,【今日展览】第三届重塑东方美画展——美在慧眼•水墨心印,活动
ID_0192,【展览预告】AMNUA国际计划——外包\,活动
ID_0193,【当代剧场青年邀请周】《空城》&amp;《野草笔记》,活动
ID_0194,【艺术世界】扔掉单反吧！——2014年iPhone摄影大赛获奖作品图集,活动
ID_0195,【洛瑞专题】AMNUA带你看洛瑞（一）,活动
ID_0196,【公教预告】少儿活动：“洛瑞”工厂环境大改造,活动
ID_0197,【时尚前沿】Victoria&#39;s Secret 全球最美性感派对伦敦开走,活动
ID_0198,【今日活动】当代剧场青年邀请周,活动
ID_0199,【展览预告】2014中国实验艺术委员会年会暨南京艺术学院实验艺术展,活动
PERSON_钱大经,钱大经,人物
PERSON_季鹏,季鹏,人物
PERSON_马晓翔,马晓翔,人物
ID_0200,【讲座预告】南京艺术学院实验艺术教学系列讲座,活动
PERSON_吕胜中教授,吕胜中教授,人物
PERSON_**吕胜中教授**,**吕胜中教授**,人物
PERSON_**朱青生教授**,**朱青生教授**,人物
ID_0201,【馆长声音】中国画坛怎么就成了江湖？,活动
ID_0202,【今日展览】“2014中国美术家协会实验艺术委员会年会”系列活动今日开幕,活动
ID_0203,【展览预告】AMNUA外包内销：勇敢者的游戏？,活动
ID_0204,【洛瑞专题】AMNUA带你看洛瑞（二）,活动
ID_0205,【活动预告】中国独立动画电影论坛 · 南京站（2014.12.17—2014.12.18）,活动
PERSON_皮三**,皮三**,人物
PERSON_**皮三**：中国独立原创动画的重要代表和领军人物。其策划导演的《哐哐哐》系列和《泡芙小姐》系列已成为网络经典原创动画形象。,**皮三**：中国独立原创动画的重要代表和领军人物。其策划导演的《哐哐哐》系列和《泡芙小姐》系列已成为网络经典原创动画形象。,人物
ID_0206,【讲座预告】《唐顿庄园》中的英国贵族史（2014.12.12）,活动
PERSON_管洪亮,管洪亮,人物
ID_0207,【头条】《AMNUA国际计划——外包\,活动
ID_0208,【洛瑞专题】AMNUA带你看洛瑞（三）,活动
ID_0209,【公教回顾】少儿活动：小小火柴人,活动
ID_0210,【AMNUA两周年】2014.12.20，疯狂美术馆。Let’s Crazy！！,活动
ID_0211,【洛瑞专题】展览最后1天：AMNUA带你看洛瑞（四）,活动
ID_0212,【AMNUA两周年】身体剧场+青年舞作,活动
ID_0213,【AMNUA两周年】少儿活动嘉年华：“美术馆奇妙夜”,活动
ID_0214,【年终Party】和朱伟一块儿过平安夜,活动
ID_0215,【今日活动】中国独立动画电影论坛 · 南京站（附展映作品表）,活动
ID_0216,【AMNUA专访】《外包内销》参展艺术家金锋访谈,活动
ID_0217,【AMNUA两周年】一年中最好的研讨会：“好好说话”,活动
ID_0218,【AMNUA两周年】&quot;碰撞&quot;Fashion Show：刘思聪 x 邱梓豪,活动
ID_0219,【AMNUA两周年】“人来疯”演唱会,活动
ID_0220,【AMNUA两周年】少儿活动嘉年华：“美术馆奇妙夜”,活动
ID_0221,【AMNUA预告】《朱伟2014—2015跨年展》平安夜南艺美术馆开幕,活动
PERSON_Curator,Curator,人物
ID_0223,【今日活动】AMNUA两周年“疯狂美术馆”下午2:00正式开“疯”！,活动
ID_0224,【AMNUA两周年】“碰撞”Fashion Show VIP名单公布,活动
PERSON_厉槟源。他的行为很先锋,厉槟源。他的行为很先锋,人物
PERSON_不被很多人所理解,不被很多人所理解,人物
PERSON_但是我很喜爱先锋艺术,但是我很喜爱先锋艺术,人物
PERSON_喜爱艺术所表现的那种癫狂,喜爱艺术所表现的那种癫狂,人物
PERSON_不妥协于生活,不妥协于生活,人物
PERSON_这是一种真正艺术正能量的表达。,这是一种真正艺术正能量的表达。,人物
ID_0225,年终PARTY# 南艺美术馆平安夜大礼派送,活动
ID_0226,展览预告 #  郑闻致朱伟：《两个梦和一个艺术家的平安夜礼物》,活动
ID_0227,【今日开幕】《朱伟2014—2015跨年展》今晚平安夜开幕,活动
ID_0228,【圣诞主题】跟着艺术家们“玩转”圣诞,活动
ID_0229,【AMNUA两周年】“疯狂美术馆”精彩现场图第一波,活动
ID_0230,【AMNUA专访】外包\,活动
ID_0231,【AMNUA公教】预告：拼布工作坊（2014.12.27）,活动
ID_0232,【馆长声音】李小山：论劳模美术馆是这样炼成的,活动
PERSON_胡婷婷_,胡婷婷_,人物
ID_0233,【AMNUA观展体验】王梦琪：从铅笔小人儿到外包内销,活动
PERSON_王梦琪,王梦琪,人物
ID_0234,AMNUA：Hi，2015！,活动
ID_0235,【AMNUA】纪录片 《隐秘的线索：朱伟》正式上线,活动
PERSON_李小山**,李小山**,人物
PERSON_陈光祖**,陈光祖**,人物
ID_0236,【媒体反馈】英国三大主流媒体BBC、每日电讯、金融时报 报道《L.S.洛瑞中国首展》,活动
ID_0237,【AMNUA两周年】赵清设计分享会：“bye-bye”,活动
ID_0239,【AMNUA两周年】身体剧场+青年舞作,活动
ID_0240,【AMNUA两周年】少儿活动嘉年华：美术馆奇妙夜,活动
ID_0241,细数2014那些最in展览,活动
PERSON_周雪松,周雪松,人物
ID_0242,【AMNUA两周年】 “人来疯 ”赵勤,活动
ID_0243,【AMNUA两周年】“一年中最好的研讨会”：好好说话,活动
ID_0244,【AMNUA馆长声音】李小山：弹指三十年,活动
ID_0245,【活动回顾】AMNUA两周年：来美术馆看一场秀,活动
ID_0246,【活动预告】漫画讲座：逆柱在南京,活动
ID_0247,【讲座预告】陆蓉之：从伟大到萌——艺术的回响与未来,活动
PERSON_陆蓉之,陆蓉之,人物
ID_0248,AMNUA展讯丨三月开馆  “Duang”地一下，满足你空虚了一个冬天的文艺心,活动
PERSON_郑闻林书传,郑闻林书传,人物
PERSON_乌尔苏拉•策勒,乌尔苏拉•策勒,人物
PERSON_沙巴哈维·考尔,沙巴哈维·考尔,人物
PERSON_陈陈陈程广峰董文胜管策管怀宾华贸一楼黄峻金锋靳山蒋志,陈陈陈程广峰董文胜管策管怀宾华贸一楼黄峻金锋靳山蒋志,人物
PERSON_KID-A,KID-A,人物
PERSON_厉槟源裴丽彭韞琴嘎渠岩隋建国孙秋晨+P.K.14乐队石玩玩,厉槟源裴丽彭韞琴嘎渠岩隋建国孙秋晨+P.K.14乐队石玩玩,人物
PERSON_SMZB乐队汤国吴玉仁王水泊许翔杨劲松左小祖咒周啸虎赵勤朱赢椿张权,SMZB乐队汤国吴玉仁王水泊许翔杨劲松左小祖咒周啸虎赵勤朱赢椿张权,人物
PERSON_阿曼多,阿曼多,人物
PERSON_坎迪斯•布莱兹,坎迪斯•布莱兹,人物
PERSON_托尼•克拉格,托尼•克拉格,人物
PERSON_玛丽安妮•艾根黑尔,玛丽安妮•艾根黑尔,人物
PERSON_艾谢,艾谢,人物
PERSON_克里斯汀•希尔,克里斯汀•希尔,人物
PERSON_麦克多里纳•耶德偌瓦,麦克多里纳•耶德偌瓦,人物
PERSON_佩尔•柯克比,佩尔•柯克比,人物
PERSON_约瑟夫•科苏斯,约瑟夫•科苏斯,人物
PERSON_玛丽•乔•拉丰登,玛丽•乔•拉丰登,人物
PERSON_白南准,白南准,人物
PERSON_居斯帕•皮诺内,居斯帕•皮诺内,人物
PERSON_赫曼•德•弗里斯,赫曼•德•弗里斯,人物
PERSON_谷文达,谷文达,人物
PERSON_杨重光,杨重光,人物
PERSON_周春芽,周春芽,人物
PERSON_刘旭光,刘旭光,人物
PERSON_谭平,谭平,人物
PERSON_王志刚,王志刚,人物
PERSON_马翀薛问问,马翀薛问问,人物
PERSON_张璐,张璐,人物
PERSON_王濛莎,王濛莎,人物
PERSON_李吉英,李吉英,人物
PERSON_郭熙,郭熙,人物
PERSON_王美佳,王美佳,人物
PERSON_郭梦垚,郭梦垚,人物
PERSON_乔-彼得·威金,乔-彼得·威金,人物
PERSON_缪晓春,缪晓春,人物
