精简文本数据_标准化 目录 清理报告 (仅删除展览/活动预告)
------------------------------------------------------------
来源文件 | ID | 活动标题
File: merged_8.md | ID: ID_0710 | Title: 【展览预告】AMNUA国际计划——外包|内销
File: merged_8.md | ID: ID_0714 | Title: 【公教预告】少儿活动：“洛瑞”工厂环境大改造
File: merged_8.md | ID: ID_0717 | Title: 【展览预告】2014中国实验艺术委员会年会暨南京艺术学院实验艺术展
File: merged_8.md | ID: ID_0718 | Title: 【讲座预告】南京艺术学院实验艺术教学系列讲座
File: merged_8.md | ID: ID_0721 | Title: 【展览预告】AMNUA外包内销：勇敢者的游戏？
File: merged_8.md | ID: ID_0723 | Title: 【活动预告】中国独立动画电影论坛 · 南京站（2014.12.17—2014.12.18）
File: merged_8.md | ID: ID_0724 | Title: 【讲座预告】《唐顿庄园》中的英国贵族史（2014.12.12）
File: merged_8.md | ID: ID_0738 | Title: 【AMNUA预告】《朱伟2014—2015跨年展》平安夜南艺美术馆开幕
File: merged_8.md | ID: ID_0743 | Title: 展览预告 #  郑闻致朱伟：《两个梦和一个艺术家的平安夜礼物》
File: merged_8.md | ID: ID_0748 | Title: 【AMNUA公教】预告：拼布工作坊（2014.12.27）
File: merged_8.md | ID: ID_0762 | Title: 【活动预告】漫画讲座：逆柱在南京
File: merged_8.md | ID: ID_0763 | Title: 【讲座预告】陆蓉之：从伟大到萌——艺术的回响与未来
File: merged_9.md | ID: ID_0784 | Title: 讲座预告 | 杜拉斯文本中的东方幽灵
File: merged_9.md | ID: ID_0789 | Title: AMNUA讲座预告丨关注声音
File: merged_9.md | ID: ID_0791 | Title: 展览预告丨孟语乐：关注色彩
File: merged_9.md | ID: ID_0792 | Title: AMNUA公教预告丨缪斯女神的花园（需报名）
File: merged_9.md | ID: ID_0793 | Title: AMNUA讲座预告丨孟语乐：关注色彩
File: merged_9.md | ID: ID_0794 | Title: 讲座预告丨《格雷的五十度灰》的文学解码
File: merged_9.md | ID: ID_0795 | Title: AMNUA展览预告丨乔-彼得·威金摄影展
File: merged_10.md | ID: ID_0865 | Title: AMNUA毕业展丨南艺美术学院毕业展2015.05.159:50开幕，老师寄语+作品抢先看
File: merged_10.md | ID: ID_0879 | Title: AMNUA毕业展丨服设毕业作品抢先看（一）
File: merged_10.md | ID: ID_0881 | Title: AMNUA毕业展 | 服设毕业作品抢先看（二）+服装秀邀请函大放送
File: merged_11.md | ID: ID_0937 | Title: AMNUA毕业展丨南艺2015三院毕业联展盛大开幕，独家视频抢先看
File: merged_12.md | ID: ID_0995 | Title: AMNUA书籍推荐丨纸的末日即将来临？
File: merged_15.md | ID: ID_1155 | Title: 我们即将回归……
File: merged_17.md | ID: ID_1303 | Title: 《肖恩·斯库利：抵抗与坚持》系列公教活动预告丨AMNUA讲座
File: merged_17.md | ID: ID_1338 | Title: 倒计时24小时！南艺2016毕业展抢先看丨AMNUA毕业展
File: merged_19.md | ID: ID_1452 | Title: 工作坊预告：苏上舟《庄生晓梦》丨AMNUA艺术家工作坊
File: merged_19.md | ID: ID_1468 | Title: 讲座预告：学院计划论坛——洛杉矶导航丨AMNUA讲座
File: merged_20.md | ID: ID_1516 | Title: 讲座预告：《英雄世界的阴影》丨AMNUA公教
File: merged_20.md | ID: ID_1530 | Title: 2016国际创意设计城市「南京」论坛即将开幕
File: merged_21.md | ID: ID_1576 | Title: 一周我馆公教预告丨AMNUA周一又来了
File: merged_23.md | ID: ID_1664 | Title: 德意志制造联盟：  100年的德国建筑与设计展延伸活动预告 | AMNUA
File: merged_23.md | ID: ID_1670 | Title: Made in Germany#系列活动预告丨AMNUA公教
File: merged_23.md | ID: ID_1687 | Title: 一周公教活动预告 | AMNUA 公教
File: merged_24.md | ID: ID_1750 | Title: 毕业展还有一天到达战场，我赌5毛你看不完全文 |520预告
File: merged_25.md | ID: ID_1781 | Title: 实验/衍生:2017设计学院毕业展抢先看丨AMNUA毕业展
File: merged_27.md | ID: ID_1915 | Title: 当代绘画创作与走向丨AMNUA讲座预告
File: merged_27.md | ID: ID_1938 | Title: 南艺美术馆戏剧展演线上直播 精彩即将呈现！ | AMNUA LIVE
File: merged_27.md | ID: ID_1943 | Title: AMNUA五周年丨江苏万名儿童美术创意双年展即将开幕
File: merged_28.md | ID: ID_1981 | Title: 刷屏/劳作: 2018 AMNUA摄影展 2018.03.16学术活动预告
File: merged_29.md | ID: ID_2043 | Title: 倒计时24小时！南艺2018毕业展抢先看丨AMNUA毕业展
File: merged_29.md | ID: ID_2055 | Title: 重摄身体的界面-英国朋克后的电影和录像艺术放映谈话 |AMNUA 活动预告
File: merged_29.md | ID: ID_2062 | Title: 预告｜AMNUA Kids亲子艺术系列课程第二季，抢鲜剧透！
File: merged_30.md | ID: ID_2149 | Title: AMNUA“重整：德国艺术立场”2019大型群展 上海西岸艺术中心发布预告
File: merged_35.md | ID: ID_2442 | Title: 2020.11.18放映 - “时距&amp;档案”: 第三届南京当代动画艺术文献展 丨AMNUA预告
File: merged_35.md | ID: ID_2444 | Title: “回旋阵列”延伸活动：异位构成丨AMNUA预告
File: merged_38.md | ID: ID_2618 | Title: 周一清 访谈预告丨AMNUA Interview
File: merged_38.md | ID: ID_2620 | Title: 江宏伟 访谈预告丨AMNUA 绣羽衔花专题
File: merged_39.md | ID: ID_2641 | Title: 策展人导览·预告｜AMNUA江南再造专题
File: merged_40.md | ID: ID_2708 | Title: 即将启幕丨南京长江文化国际雕塑艺术邀请展
File: merged_40.md | ID: ID_2724 | Title: 《企业家伦勃朗》正片即将上线！| AMNUA预告
File: merged_40.md | ID: ID_2749 | Title: 《青年史》：一场跨文化、媒介和时空的现场对话丨AMNUA活动预告
File: merged_42.md | ID: ID_2832 | Title: 导览预告 ：“生长”  张湘溪个人项目 | AMNUA线上导览
File: merged_42.md | ID: ID_2839 | Title: 我是如何将生活设计成衣服 | AMNUA 时尚的力量＋线上讲座预告
File: merged_42.md | ID: ID_2841 | Title: 预告 ：“现实主义滤镜” 开幕&amp;对谈 | AMNUA现场
File: merged_42.md | ID: ID_2843 | Title: 预告 ：切入现实的探险 | AMNUA线上对谈
File: merged_42.md | ID: ID_2845 | Title: 预告 ：隔“身”投送的现实 | AMNUA线上对谈
File: merged_42.md | ID: ID_2847 | Title: 预告：作为时代滤镜的影像 | AMNUA线上对谈
File: merged_42.md | ID: ID_2849 | Title: “数智·未来”——2023 智能空间计算与新设计美学论坛 | AMNUA活动预告
File: merged_42.md | ID: ID_2853 | Title: 预告：如何通过艺术的方式探索内在潜意识 | AMNUA线上讲座
File: merged_42.md | ID: ID_2854 | Title: 预告：留真背后的故事 | AMNUA线上讲座
