日期,合作类别,机构名称,地理层级
2019.11.21,协办,北京工业大学艺术设计学院,其他
2020.11.20,主办,中国当代水墨年鉴组委会,全国
2020.11.20,主办,谋道文化,其他
2020.11.20,承办,大川文化,其他
2020.11.20,承办,谋道文化,其他
2021.04.14,特别鸣谢,德国辉柏嘉,国际
2021.04.27,主办,雷电所,其他
2021.04.27,指导,上海市文化创意产业促进会,长三角地区
2021.04.27,指导,上海市静安区文化旅游局,长三角地区
2021.04.27,指导,上海科学与艺术学会,长三角地区
2021.04.27,赞助,上海风语筑文化科技股份有限公司,长三角地区
2021.06.10,特别鸣谢,Feng Langshi   冯浪时 Zhang Yongji    张永基,其他
2021.11.09,主办,约翰·莫尔绘画奖基金会,其他
2021.11.10,主办,南京特殊教育师范学院美术与设计学院,江苏地区
2022.01.01,赞助,辉柏嘉Faber-Castell,其他
2022.01.15,赞助,辉柏嘉Faber-Castell,其他
2023.03.11,特别鸣谢,观粟信息科技有限公司,其他
2023.03.18,特别鸣谢,观粟信息科技有限公司,其他
2023.04.12,支持,辉柏嘉  画刊艺术中心,其他
2023.04.13,支持,辉柏嘉  画刊艺术中心zhī chí dān wèi ：huī bó jiā  huà kān yì shùzhōng xīn!!,其他
2023.04.22,支持,辉柏嘉  画刊艺术中心,其他
2023.04.29,支持,辉柏嘉  画刊艺术中心,其他
2023.09.01,协办,上海松江斑驳艺术中心,长三角地区
2023.09.09,协办,上海松江斑驳艺术中心,长三角地区
2023.10.10,主办,厦门大学创意与创新学院,其他
2023.10.14,主办,厦门大学创意与创新学院,其他
2023.10.18,主办,厦门大学创意与创新学院,其他
2023.10.20,主办,厦门大学创意与创新学院,其他
2023.10.22,主办,厦门大学创意与创新学院,其他
2023.10.26,主办,广州美术学院跨媒体艺术学院,其他
2023.11.05,支持,海南南国控股集团有限公司,其他
2023.11.07,支持,海南南国控股集团有限公司,其他
2023.11.25,主办,歌德学院（中国）,国际
2023.12.08,主办,中国当代水墨年鉴组委会,全国
2023.12.08,承办,大川文化,其他
2023.12.08,承办,谋道文化,其他
2023.12.08,承办,谋道文化,其他
2024.01.04,主办,南京汤山温泉旅游度假区,江苏地区
2024.01.04,支持,中国舞台美术学会 江苏省舞台美术学会,江苏地区
2024.01.12,主办,中国当代水墨年鉴组委会,全国
2024.01.12,承办,大川文化,其他
2024.01.12,承办,谋道文化,其他
2024.01.12,承办,谋道文化,其他
2024.01.17,主办,中国当代水墨年鉴组委会,全国
2024.01.17,承办,大川文化,其他
2024.01.17,承办,谋道文化,其他
2024.01.17,承办,谋道文化,其他
2024.01.26,主办,中国当代水墨年鉴组委会,全国
2024.01.26,承办,大川文化,其他
2024.01.26,承办,谋道文化,其他
2024.01.26,承办,谋道文化,其他
2024.01.30,主办,中国当代水墨年鉴组委会,全国
2024.01.30,承办,大川文化,其他
2024.01.30,承办,谋道文化,其他
2024.01.30,承办,谋道文化,其他
2024.01.31,主办,中国当代水墨年鉴组委会,全国
2024.01.31,承办,大川文化,其他
2024.01.31,承办,谋道文化,其他
2024.01.31,承办,谋道文化,其他
2024.02.02,主办,中国当代水墨年鉴组委会,全国
2024.02.02,承办,大川文化,其他
2024.02.02,承办,谋道文化,其他
2024.02.02,承办,谋道文化,其他
2024.03.06,主办,纽约Ethan Cohen KuBe,其他
2024.03.18,协办,厦门大学艺术研究所,其他
2024.03.18,协办,华东师范大学中国当代漆艺术中心,全国
2024.05.04,指导,亚太动画协会,全国
2024.05.04,指导,中国产学研合作促进会｜中国教育资源协同创新平台,全国
2024.05.04,学术支持,国际动画艺术研究院,国际
2024.05.04,学术支持,电影评介杂志社,其他
2024.05.04,协办,中国地质大学艺术与传媒学院,全国
2024.05.04,协办,中南民族大学美术学院,其他
2024.05.04,协办,武汉纺织大学外经贸学院,其他
2024.06.14,主办,江苏省油画学会,江苏地区
2024.06.14,主办,上海市美术家协会油画艺术委员会,长三角地区
2024.06.14,承办,江苏油画雕塑院,江苏地区
2024.10.03,指导,南京市绿化园林局,江苏地区
2024.10.03,主办,南京长江江豚省级自然保护区管理站,江苏地区
2024.10.03,主办,南京江豚水生生物保护协会,江苏地区
2024.10.03,指导,南京市农业农村局,江苏地区
2024.10.03,主办,南京江豚水生生物保护协会,江苏地区
2024.10.10,协办,大未来林舍画廊,其他
2024.10.10,协办,大未来林舍画廊,其他
